pointA,pointB,distance
"(42.3364039, -71.07223994070816)","(42.3532496, -71.10777000756758)",4435.441000000001
"(42.3364039, -71.07223994070816)","(42.3539611, -71.1203527)",5013.765000000002
"(42.3364039, -71.07223994070816)","(42.33302405, -71.07351342066596)",551.4460000000001
"(42.3364039, -71.07223994070816)","(42.350582900000006, -71.10413120618469)",3487.324
"(42.3364039, -71.07223994070816)","(42.3505035, -71.09985850000001)",3137.157
"(42.3364039, -71.07223994070816)","(42.34972105, -71.10750259091596)",3660.8310000000015
"(42.3364039, -71.07223994070816)","(42.34936675, -71.1072935998869)",3612.900999999999
"(42.3364039, -71.07223994070816)","(42.349106, -71.105177)",3497.449
"(42.3364039, -71.07223994070816)","(42.3507339, -71.115618)",4323.780999999999
"(42.3364039, -71.07223994070816)","(42.3497962, -71.10803121297329)",3849.9279999999985
"(42.3364039, -71.07223994070816)","(42.348654350000004, -71.10350846676505)",3316.42
"(42.3364039, -71.07223994070816)","(42.34854035, -71.10284565282228)",3316.42
"(42.3364039, -71.07223994070816)","(42.3364039, -71.07223994070816)",0.0
"(42.3364039, -71.07223994070816)","(42.341954799999996, -71.10605008798282)",3499.7580000000007
"(42.3364039, -71.07223994070816)","(42.342699749999994, -71.10489130168085)",3334.5010000000007
"(42.3364039, -71.07223994070816)","(42.342985150000004, -71.10519520944966)",3430.7960000000007
"(42.3364039, -71.07223994070816)","(42.35013155, -71.11140104490026)",3981.7949999999987
"(42.3364039, -71.07223994070816)","(42.34945635, -71.105266656638)",3472.262999999999
"(42.3364039, -71.07223994070816)","(42.342504399999996, -71.10536300402536)",3411.8080000000004
"(42.3364039, -71.07223994070816)","(42.3518204, -71.11646235858747)",4483.7800000000025
"(42.3364039, -71.07223994070816)","(42.350170399999996, -71.095114)",2722.6620000000003
"(42.3364039, -71.07223994070816)","(42.336374750000004, -71.07016239901102)",264.305
"(42.3364039, -71.07223994070816)","(42.35028335, -71.10557727131746)",3538.078
"(42.3364039, -71.07223994070816)","(42.35097115000001, -71.10897900447887)",3896.898
"(42.3364039, -71.07223994070816)","(42.349639749999994, -71.09973226925189)",3016.996
"(42.3364039, -71.07223994070816)","(42.3437927, -71.10976791168142)",4084.924
"(42.3364039, -71.07223994070816)","(42.3504456, -71.10368611901973)",3411.3669999999997
"(42.3364039, -71.07223994070816)","(42.3501426, -71.10067825702964)",3154.8300000000004
"(42.3364039, -71.07223994070816)","(42.350104849999994, -71.10058154558558)",3154.8300000000004
"(42.3364039, -71.07223994070816)","(42.35052185, -71.10009615151182)",3137.157
"(42.3364039, -71.07223994070816)","(42.349457799999996, -71.09810497506007)",2899.072
"(42.3364039, -71.07223994070816)","(42.3503203, -71.09700303119664)",2912.3140000000003
"(42.3364039, -71.07223994070816)","(42.351064300000004, -71.1075071069339)",3805.0910000000003
"(42.3364039, -71.07223994070816)","(42.350860850000004, -71.10386660061369)",3455.9030000000002
"(42.3364039, -71.07223994070816)","(42.3495087, -71.10580869890427)",3483.451999999999
"(42.3364039, -71.07223994070816)","(42.3483358, -71.10173878356534)",3207.269
"(42.3364039, -71.07223994070816)","(42.35066235, -71.1064382921208)",3651.454
"(42.3364039, -71.07223994070816)","(42.349090849999996, -71.1041455900759)",3333.536999999999
"(42.3364039, -71.07223994070816)","(42.335479649999996, -71.0717193943673)",228.05800000000002
"(42.3364039, -71.07223994070816)","(42.3514835, -71.1212481)",4789.244999999999
"(42.3364039, -71.07223994070816)","(42.3489751, -71.1009021)",3098.666
"(42.3364039, -71.07223994070816)","(42.3509964, -71.10799517909709)",3805.0910000000003
"(42.3364039, -71.07223994070816)","(42.3496881, -71.1001848)",3122.072
"(42.3364039, -71.07223994070816)","(42.3491905, -71.1060852)",3607.695999999999
