pointA,pointB,distance
"(42.351293600000005, -71.11387671441952)","(42.35066235, -71.1064382921208)",709.992
"(42.351293600000005, -71.11387671441952)","(42.349090849999996, -71.1041455900759)",865.575
"(42.351293600000005, -71.11387671441952)","(42.335479649999996, -71.0717193943673)",4341.197999999999
"(42.351293600000005, -71.11387671441952)","(42.3514835, -71.1212481)",656.0989999999999
"(42.351293600000005, -71.11387671441952)","(42.3489751, -71.1009021)",1119.59
"(42.351293600000005, -71.11387671441952)","(42.3509964, -71.10799517909709)",555.317
"(42.351293600000005, -71.11387671441952)","(42.3496881, -71.1001848)",1146.7049999999997
"(42.351293600000005, -71.11387671441952)","(42.3491905, -71.1060852)",683.749
"(42.351293600000005, -71.11387671441952)","(42.3505083, -71.1039114501441)",913.4770000000001
"(42.351293600000005, -71.11387671441952)","(42.34865105, -71.10126530464467)",1184.92
"(42.351293600000005, -71.11387671441952)","(42.34877175, -71.10419840251558)",1393.4499999999998
"(42.351293600000005, -71.11387671441952)","(42.3517837, -71.1187216)",407.8220000000001
"(42.351293600000005, -71.11387671441952)","(42.35051115, -71.09995235)",1193.3280000000002
"(42.351293600000005, -71.11387671441952)","(42.3490585, -71.10153394404658)",1038.153
"(42.351293600000005, -71.11387671441952)","(42.3510171, -71.10981338167903)",433.108
"(42.351293600000005, -71.11387671441952)","(42.3520335, -71.11030686731542)",363.70300000000003
"(42.351293600000005, -71.11387671441952)","(42.3498642, -71.1020204)",955.3599999999998
"(42.351293600000005, -71.11387671441952)","(42.348448899999994, -71.10015580728992)",1201.5720000000001
"(42.351293600000005, -71.11387671441952)","(42.3508802, -71.11750772346343)",372.78100000000006
"(42.351293600000005, -71.11387671441952)","(42.3484364, -71.10230804217932)",1113.1139999999998
"(42.351293600000005, -71.11387671441952)","(42.34888825, -71.10484432143394)",1393.4499999999998
"(42.351293600000005, -71.11387671441952)","(42.35078225, -71.10524017370268)",791.412
"(42.351293600000005, -71.11387671441952)","(42.3505236, -71.10754495805156)",533.568
"(42.351293600000005, -71.11387671441952)","(42.3501003, -71.10383756091035)",836.0049999999999
"(42.351293600000005, -71.11387671441952)","(42.351051050235355, -71.1137959187151)",0.0
"(42.351293600000005, -71.11387671441952)","(42.35455655, -71.12354972039716)",1021.464
"(42.351293600000005, -71.11387671441952)","(42.3497494, -71.10134870499787)",1077.3929999999998
"(42.351293600000005, -71.11387671441952)","(42.34972315, -71.10086607545841)",1092.5599999999997
"(42.351293600000005, -71.11387671441952)","(42.3360176, -71.0694751)",4339.374999999996
"(42.351293600000005, -71.11387671441952)","(42.3497874, -71.09794138426676)",1366.0689999999997
"(42.351481699999994, -71.1145903356746)","(42.3508071, -71.1161896)",96.90399999999998
"(42.351481699999994, -71.1145903356746)","(42.3481453, -71.0986357601812)",1414.5020000000002
"(42.351481699999994, -71.1145903356746)","(42.3489018, -71.1023218)",1071.8830000000003
"(42.351481699999994, -71.1145903356746)","(42.3532496, -71.10777000756758)",891.8120000000001
"(42.351481699999994, -71.1145903356746)","(42.3539611, -71.1203527)",765.0370000000001
"(42.351481699999994, -71.1145903356746)","(42.33302405, -71.07351342066596)",4365.371999999997
"(42.351481699999994, -71.1145903356746)","(42.350582900000006, -71.10413120618469)",984.524
"(42.351481699999994, -71.1145903356746)","(42.3505035, -71.09985850000001)",1305.999
"(42.351481699999994, -71.1145903356746)","(42.34972105, -71.10750259091596)",762.4159999999999
"(42.351481699999994, -71.1145903356746)","(42.34936675, -71.1072935998869)",744.983
"(42.351481699999994, -71.1145903356746)","(42.349106, -71.105177)",889.1899999999999
"(42.351481699999994, -71.1145903356746)","(42.3507339, -71.115618)",72.824
"(42.351481699999994, -71.1145903356746)","(42.3497962, -71.10803121297329)",611.709
"(42.351481699999994, -71.1145903356746)","(42.348654350000004, -71.10350846676505)",1070.219
"(42.351481699999994, -71.1145903356746)","(42.34854035, -71.10284565282228)",1070.219
"(42.351481699999994, -71.1145903356746)","(42.3364039, -71.07223994070816)",4257.660999999997
"(42.351481699999994, -71.1145903356746)","(42.341954799999996, -71.10605008798282)",1739.058
"(42.351481699999994, -71.1145903356746)","(42.342699749999994, -71.10489130168085)",1573.352
"(42.351481699999994, -71.1145903356746)","(42.342985150000004, -71.10519520944966)",1544.853
"(42.351481699999994, -71.1145903356746)","(42.35013155, -71.11140104490026)",364.7579999999999
"(42.351481699999994, -71.1145903356746)","(42.34945635, -71.105266656638)",874.774
"(42.351481699999994, -71.1145903356746)","(42.342504399999996, -71.10536300402536)",1638.766
"(42.351481699999994, -71.1145903356746)","(42.3518204, -71.11646235858747)",238.942
"(42.351481699999994, -71.1145903356746)","(42.350170399999996, -71.095114)",1709.234
"(42.351481699999994, -71.1145903356746)","(42.336374750000004, -71.07016239901102)",4333.1839999999975
"(42.351481699999994, -71.1145903356746)","(42.35028335, -71.10557727131746)",787.5109999999999
"(42.351481699999994, -71.1145903356746)","(42.35097115000001, -71.10897900447887)",615.4409999999999
"(42.351481699999994, -71.1145903356746)","(42.349639749999994, -71.09973226925189)",1295.6509999999998
"(42.351481699999994, -71.1145903356746)","(42.3437927, -71.10976791168142)",1359.193
"(42.351481699999994, -71.1145903356746)","(42.3504456, -71.10368611901973)",1026.1480000000001
"(42.351481699999994, -71.1145903356746)","(42.3501426, -71.10067825702964)",1282.5209999999997
"(42.351481699999994, -71.1145903356746)","(42.350104849999994, -71.10058154558558)",1282.5209999999997
"(42.351481699999994, -71.1145903356746)","(42.35052185, -71.10009615151182)",1305.999
"(42.351481699999994, -71.1145903356746)","(42.349457799999996, -71.09810497506007)",1408.955
"(42.351481699999994, -71.1145903356746)","(42.3503203, -71.09700303119664)",1531.7169999999999
"(42.351481699999994, -71.1145903356746)","(42.351064300000004, -71.1075071069339)",667.988
"(42.351481699999994, -71.1145903356746)","(42.350860850000004, -71.10386660061369)",975.9930000000002
"(42.351481699999994, -71.1145903356746)","(42.3495087, -71.10580869890427)",873.483
"(42.351481699999994, -71.1145903356746)","(42.3483358, -71.10173878356534)",1179.406
"(42.351481699999994, -71.1145903356746)","(42.35066235, -71.1064382921208)",822.663
"(42.351481699999994, -71.1145903356746)","(42.349090849999996, -71.1041455900759)",931.8670000000001
"(42.351481699999994, -71.1145903356746)","(42.335479649999996, -71.0717193943673)",4407.489999999999
"(42.351481699999994, -71.1145903356746)","(42.3514835, -71.1212481)",535.2120000000001
"(42.351481699999994, -71.1145903356746)","(42.3489751, -71.1009021)",1185.882
"(42.351481699999994, -71.1145903356746)","(42.3509964, -71.10799517909709)",667.988
"(42.351481699999994, -71.1145903356746)","(42.3496881, -71.1001848)",1254.817
"(42.351481699999994, -71.1145903356746)","(42.3491905, -71.1060852)",750.0409999999999
"(42.351481699999994, -71.1145903356746)","(42.3505083, -71.1039114501441)",1026.1480000000001
"(42.351481699999994, -71.1145903356746)","(42.34865105, -71.10126530464467)",1251.2120000000002
"(42.351481699999994, -71.1145903356746)","(42.34877175, -71.10419840251558)",1459.742
"(42.351481699999994, -71.1145903356746)","(42.3517837, -71.1187216)",348.077
"(42.351481699999994, -71.1145903356746)","(42.35051115, -71.09995235)",1305.999
"(42.351481699999994, -71.1145903356746)","(42.3490585, -71.10153394404658)",1104.4450000000002
"(42.351481699999994, -71.1145903356746)","(42.3510171, -71.10981338167903)",547.5829999999999
"(42.351481699999994, -71.1145903356746)","(42.3520335, -71.11030686731542)",483.52400000000006
"(42.351481699999994, -71.1145903356746)","(42.3498642, -71.1020204)",1063.472
"(42.351481699999994, -71.1145903356746)","(42.348448899999994, -71.10015580728992)",1267.8640000000003
"(42.351481699999994, -71.1145903356746)","(42.3508802, -71.11750772346343)",253.322
"(42.351481699999994, -71.1145903356746)","(42.3484364, -71.10230804217932)",1179.406
"(42.351481699999994, -71.1145903356746)","(42.34888825, -71.10484432143394)",1459.742
"(42.351481699999994, -71.1145903356746)","(42.35078225, -71.10524017370268)",904.0830000000001
"(42.351481699999994, -71.1145903356746)","(42.3505236, -71.10754495805156)",646.239
"(42.351481699999994, -71.1145903356746)","(42.3501003, -71.10383756091035)",944.1169999999998
"(42.351481699999994, -71.1145903356746)","(42.351051050235355, -71.1137959187151)",122.19099999999999
"(42.351481699999994, -71.1145903356746)","(42.35455655, -71.12354972039716)",964.1050000000001
"(42.351481699999994, -71.1145903356746)","(42.3497494, -71.10134870499787)",1185.5049999999999
"(42.351481699999994, -71.1145903356746)","(42.34972315, -71.10086607545841)",1200.672
"(42.351481699999994, -71.1145903356746)","(42.3360176, -71.0694751)",4405.666999999997
"(42.351481699999994, -71.1145903356746)","(42.3497874, -71.09794138426676)",1474.181
"(42.3508071, -71.1161896)","(42.3481453, -71.0986357601812)",1496.959
"(42.3508071, -71.1161896)","(42.3489018, -71.1023218)",1154.3400000000001
"(42.3508071, -71.1161896)","(42.3532496, -71.10777000756758)",985.703
"(42.3508071, -71.1161896)","(42.3539611, -71.1203527)",690.1030000000001
"(42.3508071, -71.1161896)","(42.33302405, -71.07351342066596)",4455.5719999999965
"(42.3508071, -71.1161896)","(42.350582900000006, -71.10413120618469)",1078.4150000000002
"(42.3508071, -71.1161896)","(42.3505035, -71.09985850000001)",1399.89
"(42.3508071, -71.1161896)","(42.34972105, -71.10750259091596)",856.307
"(42.3508071, -71.1161896)","(42.34936675, -71.1072935998869)",826.4389999999999
"(42.3508071, -71.1161896)","(42.349106, -71.105177)",970.6459999999998
"(42.3508071, -71.1161896)","(42.3507339, -71.115618)",24.080000000000005
"(42.3508071, -71.1161896)","(42.3497962, -71.10803121297329)",693.1649999999998
"(42.3508071, -71.1161896)","(42.348654350000004, -71.10350846676505)",1151.6749999999997
"(42.3508071, -71.1161896)","(42.34854035, -71.10284565282228)",1151.6749999999997
"(42.3508071, -71.1161896)","(42.3364039, -71.07223994070816)",4347.860999999998
"(42.3508071, -71.1161896)","(42.341954799999996, -71.10605008798282)",1813.246
"(42.3508071, -71.1161896)","(42.342699749999994, -71.10489130168085)",1647.5400000000002
"(42.3508071, -71.1161896)","(42.342985150000004, -71.10519520944966)",1619.0410000000002
"(42.3508071, -71.1161896)","(42.35013155, -71.11140104490026)",438.9459999999999
"(42.3508071, -71.1161896)","(42.34945635, -71.105266656638)",956.2299999999999
"(42.3508071, -71.1161896)","(42.342504399999996, -71.10536300402536)",1712.9540000000002
"(42.3508071, -71.1161896)","(42.3518204, -71.11646235858747)",173.32999999999998
"(42.3508071, -71.1161896)","(42.350170399999996, -71.095114)",1803.125
"(42.3508071, -71.1161896)","(42.336374750000004, -71.07016239901102)",4423.383999999997
"(42.3508071, -71.1161896)","(42.35028335, -71.10557727131746)",881.4019999999999
"(42.3508071, -71.1161896)","(42.35097115000001, -71.10897900447887)",709.3320000000001
"(42.3508071, -71.1161896)","(42.349639749999994, -71.09973226925189)",1389.542
"(42.3508071, -71.1161896)","(42.3437927, -71.10976791168142)",1433.3809999999999
"(42.3508071, -71.1161896)","(42.3504456, -71.10368611901973)",1120.0390000000002
"(42.3508071, -71.1161896)","(42.3501426, -71.10067825702964)",1376.4119999999998
"(42.3508071, -71.1161896)","(42.350104849999994, -71.10058154558558)",1376.4119999999998
"(42.3508071, -71.1161896)","(42.35052185, -71.10009615151182)",1399.89
"(42.3508071, -71.1161896)","(42.349457799999996, -71.09810497506007)",1502.846
"(42.3508071, -71.1161896)","(42.3503203, -71.09700303119664)",1625.608
"(42.3508071, -71.1161896)","(42.351064300000004, -71.1075071069339)",761.8790000000001
"(42.3508071, -71.1161896)","(42.350860850000004, -71.10386660061369)",1069.8840000000002
"(42.3508071, -71.1161896)","(42.3495087, -71.10580869890427)",954.9389999999999
"(42.3508071, -71.1161896)","(42.3483358, -71.10173878356534)",1260.8619999999996
"(42.3508071, -71.1161896)","(42.35066235, -71.1064382921208)",916.5540000000001
"(42.3508071, -71.1161896)","(42.349090849999996, -71.1041455900759)",1014.324
"(42.3508071, -71.1161896)","(42.335479649999996, -71.0717193943673)",4497.689999999999
"(42.3508071, -71.1161896)","(42.3514835, -71.1212481)",441.384
"(42.3508071, -71.1161896)","(42.3489751, -71.1009021)",1268.339
"(42.3508071, -71.1161896)","(42.3509964, -71.10799517909709)",761.8790000000001
"(42.3508071, -71.1161896)","(42.3496881, -71.1001848)",1348.708
"(42.3508071, -71.1161896)","(42.3491905, -71.1060852)",831.4969999999998
"(42.3508071, -71.1161896)","(42.3505083, -71.1039114501441)",1120.0390000000002
"(42.3508071, -71.1161896)","(42.34865105, -71.10126530464467)",1333.669
"(42.3508071, -71.1161896)","(42.34877175, -71.10419840251558)",1541.1979999999996
"(42.3508071, -71.1161896)","(42.3517837, -71.1187216)",273.14300000000003
"(42.3508071, -71.1161896)","(42.35051115, -71.09995235)",1399.89
"(42.3508071, -71.1161896)","(42.3490585, -71.10153394404658)",1186.902
"(42.3508071, -71.1161896)","(42.3510171, -71.10981338167903)",641.474
"(42.3508071, -71.1161896)","(42.3520335, -71.11030686731542)",577.415
"(42.3508071, -71.1161896)","(42.3498642, -71.1020204)",1157.363
"(42.3508071, -71.1161896)","(42.348448899999994, -71.10015580728992)",1350.3210000000001
"(42.3508071, -71.1161896)","(42.3508802, -71.11750772346343)",156.699
"(42.3508071, -71.1161896)","(42.3484364, -71.10230804217932)",1260.8619999999996
"(42.3508071, -71.1161896)","(42.34888825, -71.10484432143394)",1541.1979999999996
"(42.3508071, -71.1161896)","(42.35078225, -71.10524017370268)",997.9740000000002
"(42.3508071, -71.1161896)","(42.3505236, -71.10754495805156)",740.1300000000001
"(42.3508071, -71.1161896)","(42.3501003, -71.10383756091035)",1038.008
"(42.3508071, -71.1161896)","(42.351051050235355, -71.1137959187151)",216.08199999999997
"(42.3508071, -71.1161896)","(42.35455655, -71.12354972039716)",889.1709999999999
"(42.3508071, -71.1161896)","(42.3497494, -71.10134870499787)",1279.3960000000002
"(42.3508071, -71.1161896)","(42.34972315, -71.10086607545841)",1294.563
"(42.3508071, -71.1161896)","(42.3360176, -71.0694751)",4495.866999999997
"(42.3508071, -71.1161896)","(42.3497874, -71.09794138426676)",1568.0720000000001
"(42.3481453, -71.0986357601812)","(42.3489018, -71.1023218)",403.43999999999994
"(42.3481453, -71.0986357601812)","(42.3532496, -71.10777000756758)",1619.172
"(42.3481453, -71.0986357601812)","(42.3539611, -71.1203527)",2170.6059999999993
"(42.3481453, -71.0986357601812)","(42.33302405, -71.07351342066596)",2994.1850000000004
"(42.3481453, -71.0986357601812)","(42.350582900000006, -71.10413120618469)",678.3750000000001
"(42.3481453, -71.0986357601812)","(42.3505035, -71.09985850000001)",351.501
"(42.3481453, -71.0986357601812)","(42.34972105, -71.10750259091596)",817.6719999999998
"(42.3481453, -71.0986357601812)","(42.34936675, -71.1072935998869)",756.604
"(42.3481453, -71.0986357601812)","(42.349106, -71.105177)",611.116
"(42.3481453, -71.0986357601812)","(42.3507339, -71.115618)",1472.8790000000001
"(42.3481453, -71.0986357601812)","(42.3497962, -71.10803121297329)",999.026
"(42.3481453, -71.0986357601812)","(42.348654350000004, -71.10350846676505)",430.087
"(42.3481453, -71.0986357601812)","(42.34854035, -71.10284565282228)",430.087
"(42.3481453, -71.0986357601812)","(42.3364039, -71.07223994070816)",2886.4739999999983
"(42.3481453, -71.0986357601812)","(42.341954799999996, -71.10605008798282)",1249.239
"(42.3481453, -71.0986357601812)","(42.342699749999994, -71.10489130168085)",1083.982
"(42.3481453, -71.0986357601812)","(42.342985150000004, -71.10519520944966)",1073.817
"(42.3481453, -71.0986357601812)","(42.35013155, -71.11140104490026)",1130.893
"(42.3481453, -71.0986357601812)","(42.34945635, -71.105266656638)",621.361
"(42.3481453, -71.0986357601812)","(42.342504399999996, -71.10536300402536)",1161.289
"(42.3481453, -71.0986357601812)","(42.3518204, -71.11646235858747)",1640.6209999999996
"(42.3481453, -71.0986357601812)","(42.350170399999996, -71.095114)",377.5110000000001
"(42.3481453, -71.0986357601812)","(42.336374750000004, -71.07016239901102)",2961.9969999999985
"(42.3481453, -71.0986357601812)","(42.35028335, -71.10557727131746)",699.7420000000001
"(42.3481453, -71.0986357601812)","(42.35097115000001, -71.10897900447887)",1092.652
"(42.3481453, -71.0986357601812)","(42.349639749999994, -71.09973226925189)",252.367
"(42.3481453, -71.0986357601812)","(42.3437927, -71.10976791168142)",1322.4740000000002
"(42.3481453, -71.0986357601812)","(42.3504456, -71.10368611901973)",596.7990000000001
"(42.3481453, -71.0986357601812)","(42.3501426, -71.10067825702964)",351.529
"(42.3481453, -71.0986357601812)","(42.350104849999994, -71.10058154558558)",351.529
"(42.3481453, -71.0986357601812)","(42.35052185, -71.10009615151182)",351.501
"(42.3481453, -71.0986357601812)","(42.349457799999996, -71.09810497506007)",193.712
"(42.3481453, -71.0986357601812)","(42.3503203, -71.09700303119664)",270.89099999999996
"(42.3481453, -71.0986357601812)","(42.351064300000004, -71.1075071069339)",966.7130000000002
"(42.3481453, -71.0986357601812)","(42.350860850000004, -71.10386660061369)",654.9880000000002
"(42.3481453, -71.0986357601812)","(42.3495087, -71.10580869890427)",626.823
"(42.3481453, -71.0986357601812)","(42.3483358, -71.10173878356534)",320.936
"(42.3481453, -71.0986357601812)","(42.35066235, -71.1064382921208)",842.5050000000002
"(42.3481453, -71.0986357601812)","(42.349090849999996, -71.1041455900759)",482.63499999999993
"(42.3481453, -71.0986357601812)","(42.335479649999996, -71.0717193943673)",3036.302999999999
"(42.3481453, -71.0986357601812)","(42.3514835, -71.1212481)",1938.3429999999998
"(42.3481453, -71.0986357601812)","(42.3489751, -71.1009021)",247.76399999999998
"(42.3481453, -71.0986357601812)","(42.3509964, -71.10799517909709)",966.7130000000002
"(42.3481453, -71.0986357601812)","(42.3496881, -71.1001848)",283.73600000000005
"(42.3481453, -71.0986357601812)","(42.3491905, -71.1060852)",751.399
"(42.3481453, -71.0986357601812)","(42.3505083, -71.1039114501441)",596.7990000000001
"(42.3481453, -71.0986357601812)","(42.34865105, -71.10126530464467)",273.63599999999997
"(42.3481453, -71.0986357601812)","(42.34877175, -71.10419840251558)",601.2719999999999
"(42.3481453, -71.0986357601812)","(42.3517837, -71.1187216)",1753.967
"(42.3481453, -71.0986357601812)","(42.35051115, -71.09995235)",351.501
"(42.3481453, -71.0986357601812)","(42.3490585, -71.10153394404658)",354.40399999999994
"(42.3481453, -71.0986357601812)","(42.3510171, -71.10981338167903)",1096.691
"(42.3481453, -71.0986357601812)","(42.3520335, -71.11030686731542)",1208.886
"(42.3481453, -71.0986357601812)","(42.3498642, -71.1020204)",406.21900000000005
"(42.3481453, -71.0986357601812)","(42.348448899999994, -71.10015580728992)",223.82700000000003
"(42.3481453, -71.0986357601812)","(42.3508802, -71.11750772346343)",1653.6579999999997
"(42.3481453, -71.0986357601812)","(42.3484364, -71.10230804217932)",320.936
"(42.3481453, -71.0986357601812)","(42.34888825, -71.10484432143394)",601.2719999999999
"(42.3481453, -71.0986357601812)","(42.35078225, -71.10524017370268)",745.6500000000002
"(42.3481453, -71.0986357601812)","(42.3505236, -71.10754495805156)",944.9640000000002
"(42.3481453, -71.0986357601812)","(42.3501003, -71.10383756091035)",546.1720000000001
"(42.3481453, -71.0986357601812)","(42.351051050235355, -71.1137959187151)",1348.2099999999998
"(42.3481453, -71.0986357601812)","(42.35455655, -71.12354972039716)",2369.6739999999995
"(42.3481453, -71.0986357601812)","(42.3497494, -71.10134870499787)",376.55
"(42.3481453, -71.0986357601812)","(42.34972315, -71.10086607545841)",269.01900000000006
"(42.3481453, -71.0986357601812)","(42.3360176, -71.0694751)",3034.479999999999
"(42.3481453, -71.0986357601812)","(42.3497874, -71.09794138426676)",207.6
"(42.3489018, -71.1023218)","(42.3532496, -71.10777000756758)",1276.553
"(42.3489018, -71.1023218)","(42.3539611, -71.1203527)",1827.987
"(42.3489018, -71.1023218)","(42.33302405, -71.07351342066596)",3362.053
"(42.3489018, -71.1023218)","(42.350582900000006, -71.10413120618469)",339.615
"(42.3489018, -71.1023218)","(42.3505035, -71.09985850000001)",336.198
"(42.3489018, -71.1023218)","(42.34972105, -71.10750259091596)",475.053
"(42.3489018, -71.1023218)","(42.34936675, -71.1072935998869)",419.38000000000005
"(42.3489018, -71.1023218)","(42.349106, -71.105177)",305.63800000000003
"(42.3489018, -71.1023218)","(42.3507339, -71.115618)",1130.26
"(42.3489018, -71.1023218)","(42.3497962, -71.10803121297329)",656.407
"(42.3489018, -71.1023218)","(42.348654350000004, -71.10350846676505)",136.639
"(42.3489018, -71.1023218)","(42.34854035, -71.10284565282228)",136.639
"(42.3489018, -71.1023218)","(42.3364039, -71.07223994070816)",3254.3419999999987
"(42.3489018, -71.1023218)","(42.341954799999996, -71.10605008798282)",1353.1390000000004
"(42.3489018, -71.1023218)","(42.342699749999994, -71.10489130168085)",1187.4330000000004
"(42.3489018, -71.1023218)","(42.342985150000004, -71.10519520944966)",1158.9340000000002
"(42.3489018, -71.1023218)","(42.35013155, -71.11140104490026)",788.274
"(42.3489018, -71.1023218)","(42.34945635, -71.105266656638)",278.742
"(42.3489018, -71.1023218)","(42.342504399999996, -71.10536300402536)",1252.8470000000004
"(42.3489018, -71.1023218)","(42.3518204, -71.11646235858747)",1298.002
"(42.3489018, -71.1023218)","(42.350170399999996, -71.095114)",739.433
"(42.3489018, -71.1023218)","(42.336374750000004, -71.07016239901102)",3329.864999999999
"(42.3489018, -71.1023218)","(42.35028335, -71.10557727131746)",358.582
"(42.3489018, -71.1023218)","(42.35097115000001, -71.10897900447887)",753.8919999999999
"(42.3489018, -71.1023218)","(42.349639749999994, -71.09973226925189)",309.58599999999996
"(42.3489018, -71.1023218)","(42.3437927, -71.10976791168142)",1400.4690000000003
"(42.3489018, -71.1023218)","(42.3504456, -71.10368611901973)",258.03900000000004
"(42.3489018, -71.1023218)","(42.3501426, -71.10067825702964)",308.25699999999995
"(42.3489018, -71.1023218)","(42.350104849999994, -71.10058154558558)",308.25699999999995
"(42.3489018, -71.1023218)","(42.35052185, -71.10009615151182)",336.198
"(42.3489018, -71.1023218)","(42.349457799999996, -71.09810497506007)",422.89
"(42.3489018, -71.1023218)","(42.3503203, -71.09700303119664)",561.9159999999999
"(42.3489018, -71.1023218)","(42.351064300000004, -71.1075071069339)",624.361
"(42.3489018, -71.1023218)","(42.350860850000004, -71.10386660061369)",316.228
"(42.3489018, -71.1023218)","(42.3495087, -71.10580869890427)",289.93100000000004
"(42.3489018, -71.1023218)","(42.3483358, -71.10173878356534)",124.214
"(42.3489018, -71.1023218)","(42.35066235, -71.1064382921208)",503.745
"(42.3489018, -71.1023218)","(42.349090849999996, -71.1041455900759)",140.016
"(42.3489018, -71.1023218)","(42.335479649999996, -71.0717193943673)",3404.1709999999994
"(42.3489018, -71.1023218)","(42.3514835, -71.1212481)",1595.7239999999997
"(42.3489018, -71.1023218)","(42.3489751, -71.1009021)",174.82
"(42.3489018, -71.1023218)","(42.3509964, -71.10799517909709)",624.361
"(42.3489018, -71.1023218)","(42.3496881, -71.1001848)",269.054
"(42.3489018, -71.1023218)","(42.3491905, -71.1060852)",414.17500000000007
"(42.3489018, -71.1023218)","(42.3505083, -71.1039114501441)",258.03900000000004
"(42.3489018, -71.1023218)","(42.34865105, -71.10126530464467)",207.66699999999997
"(42.3489018, -71.1023218)","(42.34877175, -71.10419840251558)",404.55
"(42.3489018, -71.1023218)","(42.3517837, -71.1187216)",1411.3480000000002
"(42.3489018, -71.1023218)","(42.35051115, -71.09995235)",336.198
"(42.3489018, -71.1023218)","(42.3490585, -71.10153394404658)",49.036
"(42.3489018, -71.1023218)","(42.3510171, -71.10981338167903)",754.072
"(42.3489018, -71.1023218)","(42.3520335, -71.11030686731542)",866.2669999999999
"(42.3489018, -71.1023218)","(42.3498642, -71.1020204)",254.46000000000004
"(42.3489018, -71.1023218)","(42.348448899999994, -71.10015580728992)",256.80199999999996
"(42.3489018, -71.1023218)","(42.3508802, -71.11750772346343)",1311.0389999999995
"(42.3489018, -71.1023218)","(42.3484364, -71.10230804217932)",124.214
"(42.3489018, -71.1023218)","(42.34888825, -71.10484432143394)",404.55
"(42.3489018, -71.1023218)","(42.35078225, -71.10524017370268)",406.89
"(42.3489018, -71.1023218)","(42.3505236, -71.10754495805156)",602.612
"(42.3489018, -71.1023218)","(42.3501003, -71.10383756091035)",206.77800000000002
"(42.3489018, -71.1023218)","(42.351051050235355, -71.1137959187151)",1005.5910000000001
"(42.3489018, -71.1023218)","(42.35455655, -71.12354972039716)",2027.0550000000005
"(42.3489018, -71.1023218)","(42.3497494, -71.10134870499787)",333.27799999999996
"(42.3489018, -71.1023218)","(42.34972315, -71.10086607545841)",216.837
"(42.3489018, -71.1023218)","(42.3360176, -71.0694751)",3402.3479999999995
"(42.3489018, -71.1023218)","(42.3497874, -71.09794138426676)",488.116
"(42.3532496, -71.10777000756758)","(42.3539611, -71.1203527)",1594.3870000000002
"(42.3532496, -71.10777000756758)","(42.33302405, -71.07351342066596)",4543.151999999998
"(42.3532496, -71.10777000756758)","(42.350582900000006, -71.10413120618469)",1136.15
"(42.3532496, -71.10777000756758)","(42.3505035, -71.09985850000001)",1457.625
"(42.3532496, -71.10777000756758)","(42.34972105, -71.10750259091596)",967.086
"(42.3532496, -71.10777000756758)","(42.34936675, -71.1072935998869)",949.653
"(42.3532496, -71.10777000756758)","(42.349106, -71.105177)",1093.8600000000001
"(42.3532496, -71.10777000756758)","(42.3507339, -71.115618)",961.6229999999999
"(42.3532496, -71.10777000756758)","(42.3497962, -71.10803121297329)",816.379
"(42.3532496, -71.10777000756758)","(42.348654350000004, -71.10350846676505)",1274.8890000000001
"(42.3532496, -71.10777000756758)","(42.34854035, -71.10284565282228)",1274.8890000000001
"(42.3532496, -71.10777000756758)","(42.3364039, -71.07223994070816)",4435.440999999998
"(42.3532496, -71.10777000756758)","(42.341954799999996, -71.10605008798282)",1972.0620000000006
"(42.3532496, -71.10777000756758)","(42.342699749999994, -71.10489130168085)",1806.3560000000007
"(42.3532496, -71.10777000756758)","(42.342985150000004, -71.10519520944966)",1777.8570000000004
"(42.3532496, -71.10777000756758)","(42.35013155, -71.11140104490026)",629.4259999999999
"(42.3532496, -71.10777000756758)","(42.34945635, -71.105266656638)",1079.444
"(42.3532496, -71.10777000756758)","(42.342504399999996, -71.10536300402536)",1871.7700000000007
"(42.3532496, -71.10777000756758)","(42.3518204, -71.11646235858747)",1064.402
"(42.3532496, -71.10777000756758)","(42.350170399999996, -71.095114)",1860.86
"(42.3532496, -71.10777000756758)","(42.336374750000004, -71.07016239901102)",4510.963999999997
"(42.3532496, -71.10777000756758)","(42.35028335, -71.10557727131746)",943.696
"(42.3532496, -71.10777000756758)","(42.35097115000001, -71.10897900447887)",765.263
"(42.3532496, -71.10777000756758)","(42.349639749999994, -71.09973226925189)",1451.836
"(42.3532496, -71.10777000756758)","(42.3437927, -71.10976791168142)",1599.939
"(42.3532496, -71.10777000756758)","(42.3504456, -71.10368611901973)",1177.7740000000001
"(42.3532496, -71.10777000756758)","(42.3501426, -71.10067825702964)",1435.086
"(42.3532496, -71.10777000756758)","(42.350104849999994, -71.10058154558558)",1435.086
"(42.3532496, -71.10777000756758)","(42.35052185, -71.10009615151182)",1457.625
"(42.3532496, -71.10777000756758)","(42.349457799999996, -71.09810497506007)",1565.14
"(42.3532496, -71.10777000756758)","(42.3503203, -71.09700303119664)",1683.3429999999998
"(42.3532496, -71.10777000756758)","(42.351064300000004, -71.1075071069339)",819.6140000000001
"(42.3532496, -71.10777000756758)","(42.350860850000004, -71.10386660061369)",1127.6190000000001
"(42.3532496, -71.10777000756758)","(42.3495087, -71.10580869890427)",1078.153
"(42.3532496, -71.10777000756758)","(42.3483358, -71.10173878356534)",1384.076
"(42.3532496, -71.10777000756758)","(42.35066235, -71.1064382921208)",974.2890000000001
